t,count
1486055841,0
1486055842,0
1486055842,932
1486055842,932
1486055842,1864
1486055842,1864
1486055842,1864
1486055842,1864
1486055842,1864
1486055842,1864
1486055842,2796
1486055843,2796
1486055843,2796
1486055843,2796
1486055843,2796
1486055843,2796
1486055843,2796
1486055843,2796
1486055843,2796
1486055843,3728
1486055843,3728
1486055844,3728
1486055844,3728
1486055844,3728
1486055844,3728
1486055844,3728
1486055844,3728
1486055844,3728
1486055844,3728
1486055844,3728
1486055844,4660
1486055845,4660
1486055845,4660
1486055845,4660
1486055845,4660
1486055845,4660
1486055845,4660
1486055845,4660
1486055845,4660
1486055845,4660
1486055845,5592
1486055846,5592
1486055846,5592
1486055846,5592
1486055846,5592
1486055846,5592
1486055846,5592
1486055846,5592
1486055846,5592
1486055846,6524
1486055846,6524
1486055847,6524
1486055847,6524
1486055847,6524
1486055847,6524
1486055847,6524
1486055847,6524
1486055847,6524
1486055847,6524
1486055847,6524
1486055847,7456
1486055848,7456
1486055848,7456
1486055848,7456
1486055848,7456
1486055848,7456
1486055848,7456
1486055848,7456
1486055848,7456
1486055848,8388
1486055848,8388
1486055849,8388
1486055849,8388
1486055849,8388
1486055849,8388
1486055849,8388
1486055849,8388
1486055849,8388
1486055849,8388
1486055849,8388
1486055849,9320
1486055850,9320
1486055850,9320
1486055850,9320
1486055850,9320
1486055850,9320
1486055850,9320
1486055850,9320
1486055850,9320
1486055850,9320
1486055850,10252
1486055851,10252
1486055851,10252
1486055851,10252
1486055851,10252
1486055851,10252
1486055851,10252
1486055851,10252
1486055851,10252
1486055851,11184
1486055851,11184
1486055852,11184
1486055852,11184
1486055852,11184
1486055852,11184
1486055852,11184
1486055852,11184
1486055852,11184
1486055852,11184
1486055852,11184
1486055852,12116
1486055853,12116
1486055853,12116
1486055853,12116
1486055853,12116
1486055853,12116
1486055853,12116
1486055853,12116
1486055853,12116
1486055853,12116
1486055853,13048
1486055854,13048
1486055854,13048
1486055854,13048
1486055854,13048
1486055854,13048
1486055854,13048
1486055854,13048
1486055854,13048
1486055854,13048
1486055854,13980
1486055855,13980
1486055855,13980
1486055855,13980
1486055855,13980
1486055855,13980
1486055855,13980
1486055855,13980
1486055855,13980
1486055855,13980
1486055855,14912
1486055856,14912
1486055856,14912
1486055856,14912
1486055856,14912
1486055856,14912
1486055856,14912
1486055856,14912
1486055856,14912
1486055856,15844
1486055856,15844
1486055857,15844
1486055857,15844
1486055857,15844
1486055857,15844
1486055857,15844
1486055857,15844
1486055857,15844
1486055857,15844
1486055857,15844
1486055857,16776
1486055858,16776
1486055858,16776
1486055858,16776
1486055858,16776
1486055858,16776
1486055858,16776
1486055858,16776
1486055858,16776
1486055858,16776
1486055858,17708
1486055859,17708
1486055859,17708
1486055859,17708
1486055859,17708
1486055859,17708
1486055859,17708
1486055859,17708
1486055859,17708
1486055859,18640
1486055859,18640
1486055860,18640
1486055860,18640
1486055860,18640
1486055860,18640
1486055860,18640
1486055860,18640
1486055860,18640
1486055860,18640
1486055860,18640
1486055860,19572
1486055861,19572
1486055861,19572
1486055861,19572
1486055861,19572
1486055861,19572
1486055861,19572
1486055861,19572
1486055861,19572
1486055861,20504
1486055861,20504
1486055862,20504
1486055862,20504
1486055862,20504
1486055862,20504
1486055862,20504
1486055862,20504
1486055862,20504
1486055862,20504
1486055862,20504
1486055862,21436
1486055863,21436
1486055863,21436
1486055863,21436
1486055863,21436
1486055863,21436
1486055863,21436
1486055863,21436
1486055863,21436
1486055863,21436
1486055863,21436
1486055864,22368
1486055864,22368
1486055864,22368
1486055864,22368
1486055864,22368
1486055864,22368
