t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1486055842,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1486055842,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1486055842,1,932,932.000000,932,0.000000,932.000000,932.000000,932.000000,932.000000,932.000000,932.000000
1486055842,2,932,932.000000,932,0.000000,932.000000,932.000000,932.000000,932.000000,932.000000,932.000000
1486055842,2,932,932.000000,932,0.000000,932.000000,932.000000,932.000000,932.000000,932.000000,932.000000
1486055842,2,932,932.000000,932,0.000000,932.000000,932.000000,932.000000,932.000000,932.000000,932.000000
1486055842,2,932,932.000000,932,0.000000,932.000000,932.000000,932.000000,932.000000,932.000000,932.000000
1486055842,2,932,932.000000,932,0.000000,932.000000,932.000000,932.000000,932.000000,932.000000,932.000000
1486055842,2,932,932.000000,932,0.000000,932.000000,932.000000,932.000000,932.000000,932.000000,932.000000
1486055842,2,932,932.000000,932,0.000000,932.000000,932.000000,932.000000,932.000000,932.000000,932.000000
1486055843,3,932,932.000000,932,0.000000,932.000000,932.000000,932.000000,932.000000,932.000000,932.000000
1486055843,3,932,932.000000,932,0.000000,932.000000,932.000000,932.000000,932.000000,932.000000,932.000000
1486055843,3,932,932.000000,932,0.000000,932.000000,932.000000,932.000000,932.000000,932.000000,932.000000
1486055843,3,932,932.000000,932,0.000000,932.000000,932.000000,932.000000,932.000000,932.000000,932.000000
1486055843,3,932,932.000000,932,0.000000,932.000000,932.000000,932.000000,932.000000,932.000000,932.000000
1486055843,3,932,932.000000,932,0.000000,932.000000,932.000000,932.000000,932.000000,932.000000,932.000000
1486055843,3,932,932.000000,932,0.000000,932.000000,932.000000,932.000000,932.000000,932.000000,932.000000
1486055843,3,932,932.000000,932,0.000000,932.000000,932.000000,932.000000,932.000000,932.000000,932.000000
1486055843,3,932,932.000000,932,0.000000,932.000000,932.000000,932.000000,932.000000,932.000000,932.000000
1486055843,4,932,932.000000,932,0.000000,932.000000,932.000000,932.000000,932.000000,932.000000,932.000000
1486055844,4,932,932.000000,932,0.000000,932.000000,932.000000,932.000000,932.000000,932.000000,932.000000
1486055844,4,932,932.000000,932,0.000000,932.000000,932.000000,932.000000,932.000000,932.000000,932.000000
1486055844,4,932,932.000000,932,0.000000,932.000000,932.000000,932.000000,932.000000,932.000000,932.000000
1486055844,4,932,932.000000,932,0.000000,932.000000,932.000000,932.000000,932.000000,932.000000,932.000000
1486055844,4,932,932.000000,932,0.000000,932.000000,932.000000,932.000000,932.000000,932.000000,932.000000
1486055844,4,932,932.000000,932,0.000000,932.000000,932.000000,932.000000,932.000000,932.000000,932.000000
1486055844,4,932,932.000000,932,0.000000,932.000000,932.000000,932.000000,932.000000,932.000000,932.000000
1486055844,4,932,932.000000,932,0.000000,932.000000,932.000000,932.000000,932.000000,932.000000,932.000000
1486055844,4,932,932.000000,932,0.000000,932.000000,932.000000,932.000000,932.000000,932.000000,932.000000
1486055844,4,932,932.000000,932,0.000000,932.000000,932.000000,932.000000,932.000000,932.000000,932.000000
1486055845,5,932,932.000000,932,0.000000,932.000000,932.000000,932.000000,932.000000,932.000000,932.000000
1486055845,5,932,932.000000,932,0.000000,932.000000,932.000000,932.000000,932.000000,932.000000,932.000000
1486055845,5,932,932.000000,932,0.000000,932.000000,932.000000,932.000000,932.000000,932.000000,932.000000
1486055845,5,932,932.000000,932,0.000000,932.000000,932.000000,932.000000,932.000000,932.000000,932.000000
1486055845,5,932,932.000000,932,0.000000,932.000000,932.000000,932.000000,932.000000,932.000000,932.000000
1486055845,5,932,932.000000,932,0.000000,932.000000,932.000000,932.000000,932.000000,932.000000,932.000000
1486055845,5,932,932.000000,932,0.000000,932.000000,932.000000,932.000000,932.000000,932.000000,932.000000
1486055845,5,932,932.000000,932,0.000000,932.000000,932.000000,932.000000,932.000000,932.000000,932.000000
1486055845,5,932,932.000000,932,0.000000,932.000000,932.000000,932.000000,932.000000,932.000000,932.000000
1486055845,5,932,932.000000,932,0.000000,932.000000,932.000000,932.000000,932.000000,932.000000,932.000000
1486055846,6,932,932.000000,932,0.000000,932.000000,932.000000,932.000000,932.000000,932.000000,932.000000
1486055846,6,932,932.000000,932,0.000000,932.000000,932.000000,932.000000,932.000000,932.000000,932.000000
1486055846,6,932,932.000000,932,0.000000,932.000000,932.000000,932.000000,932.000000,932.000000,932.000000
